OPEN
BYND
BURU
BBAI
PLUG
SNAP
TLRY
DNN
BITF
NIO
IXHL
GPUS
DVLT
ATCH
CAN
ONDS
ASST
BBD
BTG
GRAB
RIG
RR
NOK
LAC
DFLI
ABEV
ORIS
RXRX
BTBT
IONZ
HIVE
INTS
VIVK
ITUB
AIRE
LAES
CGC
CODX
NUAI
AMCR
ASBP
BTE
BENF
PSTV
NAKA
JBLU
AGNC
RZLV
AUR
DTREF
IMG
IQ
FSM
AMC
SCNX
NGD
NFE
GGB
WGRX
RANI
XHLD
FUBO
TOVX
EXK
SLNH
BINI
SES
NAK
CMBM
UAMY
PTON
SRXH
UAA
SLDP
IOVA
CHR
VSEE
ABAT
DIDIY
AGL
TMQ
QSI
ONMD
PFSA
ASNS
FFAI
BNKK
ATYR
RVYL
ALTS
PCSA
WU
OPAD
COMP
GSIW
GPRO
THAR
TMC
BTQ
BB
IBRX
FGL
KOS
UWMC
UGRO
NXE
PGEN
RVPH
BTOG
LDI
HBI
HTZ
CLOV
HLN
MSAI
URG
PTEN
GWH
ADT
VG
ALIT
GT
NB
MVST
MPW
PALI
WLDS
WIT
XPON
BTAI
NWL
COTY
ZNB
MNTS
INVZ
ELBM
GERN
UP
AIIO
DEFT
CWD
PPBT
PACB
POET
SABR
STFS
DNUT
STAI
IVVD
ARBK
ARRY
AREC
BLMZ
TDOC
GEVO
NUVB
NBY
IPDN
EULIF
ALLR
BNAI
ISPC
VERI
CENN
LYG
UMC
APM
JEM
SKYQ
ESPR
RDW
WEN
LAZR
SCWO
BLDP
WWR
ORBS
BSLK
EZGO
PRPH
ITP
SVM
INHD
IOBT
HWH
CCC
CCCS
IAUX
UPXI
TSHA
ATAI
SG
NVAX
HBIO
OPTT
PMNT
NEOG
REPL
UA
EQ
JZXN
FEMY
APVO
SMXT
AERT
LASE
ASM
RVSN
TNMG
CGTX
LIDR
SANA
HUMA
MTPLF
HKD
HPP
OSRH
SGMO
ABSI
REKR
MVIS
CDLX
ABCL
BFLY
SNGX
TE
OGN
GXAI
SSKN
ORC
AQN
MRM
BORR
KOPN
CRGY
NUKK
WORX
IVF
APLT
COOT
GDRX
EDHL
HUN
XRX
FOLD
AZTR
TGB
RELI
SPRC
MNKD
YYGH
HOUR
AEG
EU
PAGS
RAY
INDI
BLNK
DDD
GNW
GSIT
BKYI
OCGN
BOXL
ULCC
TRIB
SLI
MBOT
NXL
ELPW
ABTC
MQ
PGRE
EVGO
GLE
TROX
EEIQ
BCRX
TNYA
PHGE
BTBD
BJDX
NEXT
PRSO
UROY
XFOR
AKBA
UAVS
HNST
TGL
SPCE
AIHS
CLVT
PSEC
PSNY
CCO
FMCC
ARDX
NG
SNDL
MMA
PSNYW
AGMH
OTLK
CTM
ZNOG
PRME
KAVL
GOSS
SFGYY
LX
CHGG
SOPA
AUTL
AXL
FCEL
PTLO
VZLA
VTYX
SGML
CTMX
YCBD
MBRX
ARBE
LPTX
RCKT
YYAI
SATL
ATUS
GMHS
ERNA
CIGL
TAWNF
HGRAF
ALLO
NWBO
LXP
NKLR
ABVE
NEO
GAME
CABA
BLND
EVLV
PEPG
VMEO
APPS
IBIO
ARRNF
BMBL
POM
OMER
GAU
GROY
BTCS
RUM
GUTS
MIRA
SGBX
LXEH
PAYO
FSLY
WOOF
LAR
OMEX
TELO
PBI
RLX
PMI
SLS
COCH
AREB
TRON
UNIT
NNDM
EVH
NRGV
HKPD
CHEK
NERV
XAIR
FRGT
OVID
AQST
VFF
BKD
NVX
ACVA
REI
PRFX
CRON
GV
SKBL
BIAF
DGXX
ECX
DRH
COUR
BHC
YHC
ALT
CMBT
IRBT
IPST
AQB
SRFM
RBNE
BGC
GETY
TNGX
PTIX
MLCO
BZAI
LU
SFIX
NVVE
LRMR
GORO
SAVA
ALEC
QLGN
CURX
EONR
SID
XERS
BGS
BW
GNS
MSPR
BBBY
TLPH
SPRY
CIG
NAT
GLTO
NEON
INTR
DRCT
WVE
CAPS
AGRI
EDIT
BDN
FLYE
BLMN
LZ
VSTM
FCHL
VYNE
TURB
AUUD
GLDG
FIP
CRE
LXRX
LUNG
LION
CUPR
IBG
MSS
PAPL
RC
PLG
GSVRF
LOBO
DUO
AIMD
TTI
AQMS
OMI
VUZI
STTK
RERE
MODG
RLJ
MFG
TKC
USAS
OPK
PROK
PLTK
TV
PTLE
VSTS
KULR
TALO
RYDE
LFST
AIV
ZONE
CPOP
UGP
KLTO
FATE
ARTV
REAX
PROP
ICU
TDUP
LWLG
IMAB
NBP
ITRG
SLE
CCCC
NVA
ZDAI
CYH
BBLG
KITT
CRCG
ASPN
PDYN
AGAE
SHO
MWYN
QCLS
TRX
TLIH
RPGL
XRTX
KIDZ
TDIC
IVDA
MYO
CYDY
SIDU
RCT
SPWR
ALM
MASK
CVU
UDMY
ILLR
FIGS
EC
SPHL
HOLO
HRTX
HCWB
ARAFF
QMCO
TOI
LITM
VNCE
CISS
PPCB
VSME
GOGO
CSAN
IMRX
TWO
ANNX
EPOW
ENTO
YGMZ
ASTL
LGHL
SNTG
ARMN
YOUL
FINV
ACB
CXM
ECC
MRMD
ACDC
UFG
MSN
GCI
VGZ
NXDR
SLGB
CGTL
LEG
HAIN
PPSI
XIFR
AIFF
ICCM
WHWK
BUR
WTI
AVAH
RLAY
LPTH
SMTK
BLNE
GTBP
MTVA
BMEA
HTCR
VEEE
DCGO
LCTX
AXTI
VCIG
CCTG
NPWR
ZURA
CMPS
XXII
FFMGF
SUZ
MYGN
TLOFF
ESRT
